episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
130,MAFRL,0.033325,1.002379,1.000585,0.001794,4,3,1
131,MAFRL,0.038606,1.091411,1.090144,0.001267,3,2,1
132,MAFRL,0.076346,1.311125,1.309679,0.001445,0,0,0
133,MAFRL,0.099354,1.00775,1.006365,0.001386,0,0,0
134,MAFRL,0.058817,1.201812,1.2,0.001812,1,0,1
135,MAFRL,0.049323,1.028571,1.027344,0.001227,2,2,0
136,MAFRL,0.044235,1.262692,1.260411,0.002281,2,1,1
137,MAFRL,0.046723,1.141656,1.140107,0.001549,2,1,1
138,MAFRL,0.045899,1.180504,1.178519,0.001985,2,1,1
139,MAFRL,0.036488,1.242367,1.240444,0.001923,3,2,1
140,MAFRL,0.041207,1.428272,1.426625,0.001647,2,1,1
141,MAFRL,0.053746,1.362326,1.360411,0.001915,1,1,0
142,MAFRL,0.060234,1.161665,1.160033,0.001632,1,1,0
143,MAFRL,0.054342,1.341835,1.34,0.001835,1,0,1
144,MAFRL,0.069435,1.442056,1.44,0.002056,0,0,0
145,MAFRL,0.042725,1.342016,1.340411,0.001605,2,1,1
146,MAFRL,0.066027,1.016048,1.014363,0.001685,1,1,0
147,MAFRL,0.057231,1.248601,1.24717,0.001431,1,0,1
148,MAFRL,0.056813,1.261558,1.26,0.001558,1,0,1
149,MAFRL,0.036693,1.226306,1.225192,0.001114,3,2,1
150,MAFRL,0.0607,1.148565,1.147311,0.001254,1,1,0
151,MAFRL,0.039081,1.060849,1.05859,0.002258,3,1,2
152,MAFRL,0.061719,1.122544,1.12,0.002544,1,0,1
153,MAFRL,0.071417,1.40233,1.4,0.00233,0,0,0
154,MAFRL,0.043096,1.321359,1.320297,0.001062,2,2,0
155,MAFRL,0.033929,1.449212,1.44717,0.002042,3,1,2
156,MAFRL,0.075744,1.322363,1.32,0.002363,0,0,0
157,MAFRL,0.041995,1.382716,1.381066,0.00165,2,1,1
158,MAFRL,0.084729,1.182293,1.18,0.002293,0,0,0
159,MAFRL,0.058476,1.210928,1.210022,0.000906,1,1,0
160,MAFRL,0.071235,1.405507,1.403615,0.001892,0,0,0
161,MAFRL,0.060221,1.161932,1.160411,0.001521,1,1,0
162,MAFRL,0.046565,1.14958,1.14729,0.00229,2,2,0
163,MAFRL,0.078105,1.283234,1.28,0.003234,0,0,0
164,MAFRL,0.051456,1.444827,1.443245,0.001582,1,0,1
165,MAFRL,0.073519,1.361942,1.36,0.001942,0,0,0
166,MAFRL,0.040687,1.459672,1.457608,0.002064,2,1,1
167,MAFRL,0.059343,1.187773,1.184827,0.002946,1,0,1
168,MAFRL,0.054785,1.328977,1.324928,0.004049,1,0,1
169,MAFRL,0.063283,1.081705,1.080033,0.001672,1,1,0
170,MAFRL,0.0317,1.156145,1.154363,0.001782,4,0,4
171,MAFRL,0.060721,1.148576,1.146679,0.001897,1,1,0
172,MAFRL,0.084727,1.182603,1.18,0.002603,0,0,0
173,MAFRL,0.051221,0.95408,0.952131,0.001949,2,1,1
174,MAFRL,0.087705,1.14188,1.14,0.00188,0,0,0
175,MAFRL,0.045308,1.20946,1.206836,0.002624,2,1,1
176,MAFRL,0.078114,1.281834,1.28,0.001834,0,0,0
177,MAFRL,0.044639,1.24167,1.240054,0.001616,2,1,1
178,MAFRL,0.047205,1.119557,1.118307,0.00125,2,2,0
179,MAFRL,0.036688,1.226311,1.225586,0.000725,3,3,0
180,MAFRL,0.030482,1.282263,1.280411,0.001852,4,1,3
181,MAFRL,0.048537,1.06228,1.060054,0.002227,2,1,1
182,MAFRL,0.054938,1.321865,1.320054,0.001811,1,1,0
183,MAFRL,0.058808,1.202244,1.200264,0.00198,1,1,0
184,MAFRL,0.044575,1.244757,1.243268,0.001489,2,2,0
185,MAFRL,0.052526,1.405572,1.403615,0.001956,1,0,1
186,MAFRL,0.042369,1.362415,1.36,0.002415,2,0,2
187,MAFRL,0.064925,1.542305,1.54,0.002305,0,0,0
188,MAFRL,0.039729,1.018717,1.016903,0.001814,3,1,2
189,MAFRL,0.042732,1.341852,1.34,0.001852,2,0,2
190,MAFRL,0.036748,1.223193,1.221012,0.002181,3,2,1
191,MAFRL,0.052362,1.411305,1.409611,0.001694,1,0,1
192,MAFRL,0.056678,1.265776,1.264203,0.001572,1,1,0
193,MAFRL,0.053727,1.363065,1.361066,0.001999,1,1,0
194,MAFRL,0.032879,1.042683,1.041288,0.001395,4,2,2
195,MAFRL,0.0568,1.262056,1.260411,0.001645,1,1,0
196,MAFRL,0.041662,1.40177,1.400107,0.001662,2,1,1
197,MAFRL,0.071256,1.404612,1.403245,0.001368,0,0,0
198,MAFRL,0.083156,1.203777,1.202418,0.001359,0,0,0
199,MAFRL,0.084631,1.182821,1.181459,0.001362,0,0,0
200,MAFRL,0.060707,1.148716,1.147096,0.00162,1,0,1
201,MAFRL,0.056171,1.282933,1.28,0.002933,1,0,1
202,MAFRL,0.055333,1.308504,1.307096,0.001408,1,0,1
203,MAFRL,0.045428,1.202702,1.20111,0.001592,2,1,1
204,MAFRL,0.029226,1.424914,1.421223,0.003691,4,2,2
205,MAFRL,0.056882,1.259295,1.257896,0.001399,1,1,0
206,MAFRL,0.056652,1.266851,1.264981,0.001869,1,1,0
207,MAFRL,0.042664,1.345698,1.343723,0.001975,2,1,1
208,MAFRL,0.088145,1.135616,1.134363,0.001253,0,0,0
209,MAFRL,0.04763,1.100935,1.099354,0.00158,2,2,0
210,MAFRL,0.056351,1.276765,1.274363,0.002402,1,0,1
211,MAFRL,0.081513,1.228865,1.226572,0.002294,0,0,0
212,MAFRL,0.044957,1.225457,1.224203,0.001254,2,0,2
213,MAFRL,0.061029,1.140096,1.138396,0.0017,1,1,0
214,MAFRL,0.064849,1.044079,1.041818,0.002261,1,0,1
215,MAFRL,0.054343,1.341716,1.34,0.001716,1,0,1
216,MAFRL,0.040297,0.984245,0.98128,0.002965,3,2,1
217,MAFRL,0.0279,1.085983,1.084053,0.00193,5,4,1
218,MAFRL,0.052079,1.421478,1.42,0.001478,1,0,1
219,MAFRL,0.046704,1.142702,1.140959,0.001744,2,1,1
220,MAFRL,0.044573,1.245755,1.243245,0.00251,2,0,2
221,MAFRL,0.060321,1.159295,1.157632,0.001663,1,0,1
222,MAFRL,0.047204,1.620449,1.618255,0.002194,1,0,1
223,MAFRL,0.056799,1.262387,1.260411,0.001976,1,1,0
224,MAFRL,0.037163,1.19294,1.190638,0.002303,3,1,2
225,MAFRL,0.052256,1.416939,1.413294,0.003645,1,0,1
226,MAFRL,0.030574,1.27245,1.270596,0.001854,4,3,1
227,MAFRL,0.066654,1.502893,1.5,0.002893,0,0,0
228,MAFRL,0.030272,1.305059,1.303161,0.001898,4,1,3
229,MAFRL,0.082489,1.213946,1.212098,0.001848,0,0,0
230,MAFRL,0.091488,1.095404,1.092772,0.002632,0,0,0
231,MAFRL,0.035712,1.301313,1.300086,0.001227,3,2,1
232,MAFRL,0.03369,0.969458,0.96808,0.001378,4,2,2
233,MAFRL,0.04092,0.945151,0.943656,0.001495,3,2,1
234,MAFRL,0.042197,1.371944,1.369611,0.002333,2,0,2
235,MAFRL,0.040898,1.446843,1.444928,0.001915,2,1,1
236,MAFRL,0.034951,1.362754,1.360959,0.001795,3,1,2
237,MAFRL,0.064887,1.542764,1.540959,0.001805,0,0,0
238,MAFRL,0.045561,1.195928,1.194735,0.001194,2,2,0
239,MAFRL,0.036259,1.259425,1.257789,0.001636,3,2,1
240,MAFRL,0.051539,1.442652,1.44,0.002652,1,0,1
241,MAFRL,0.031555,1.170905,1.168847,0.002058,4,2,2
242,MAFRL,0.036856,1.215364,1.213014,0.00235,3,2,1
243,MAFRL,0.053185,1.382146,1.38,0.002146,1,0,1
244,MAFRL,0.056173,1.281517,1.280054,0.001463,1,1,0
245,MAFRL,0.063282,1.082274,1.08,0.002274,1,0,1
246,MAFRL,0.092271,1.085156,1.083615,0.001541,0,0,0
247,MAFRL,0.052625,1.401763,1.400054,0.001709,1,1,0
248,MAFRL,0.035529,1.316281,1.314396,0.001885,3,1,2
249,MAFRL,0.080614,1.24477,1.24,0.00477,0,0,0
250,MAFRL,0.042366,1.362409,1.360141,0.002268,2,1,1
251,MAFRL,0.059092,1.194628,1.192002,0.002626,1,0,1
252,MAFRL,0.074417,1.345281,1.343615,0.001666,0,0,0
253,MAFRL,0.071419,1.40197,1.4,0.00197,0,0,0
254,MAFRL,0.055248,1.312891,1.309687,0.003204,1,1,0
255,MAFRL,0.068471,0.96245,0.960264,0.002186,1,1,0
256,MAFRL,0.03783,1.144359,1.143299,0.001061,3,2,1
257,MAFRL,0.075465,1.326878,1.324928,0.00195,0,0,0
258,MAFRL,0.034603,1.391922,1.389712,0.00221,3,1,2
259,MAFRL,0.052534,1.406074,1.403245,0.002829,1,1,0
260,MAFRL,0.05334,1.378366,1.374363,0.004002,1,0,1
261,MAFRL,0.052693,1.399263,1.397632,0.001631,1,0,1
262,MAFRL,0.037289,1.183736,1.1815,0.002236,3,1,2
263,MAFRL,0.066654,1.502799,1.5,0.002799,0,0,0
264,MAFRL,0.050035,1.000662,0.998362,0.0023,2,1,1
265,MAFRL,0.084957,1.178983,1.17685,0.002133,0,0,0
266,MAFRL,0.040146,0.99296,0.990668,0.002292,3,2,1
267,MAFRL,0.04372,1.288649,1.28715,0.001499,2,1,1
268,MAFRL,0.054647,1.332276,1.329679,0.002596,1,0,1
269,MAFRL,0.044976,1.225576,1.223161,0.002414,2,1,1
270,MAFRL,0.039984,1.002831,1.000793,0.002038,3,1,2
271,MAFRL,0.085591,1.169259,1.168252,0.001006,0,0,0
272,MAFRL,0.025058,0.99233,0.990556,0.001774,6,2,4
273,MAFRL,0.056174,1.281842,1.28,0.001842,1,0,1
274,MAFRL,0.064079,1.061919,1.060411,0.001508,1,1,0
275,MAFRL,0.038707,1.086385,1.083161,0.003224,3,1,2
276,MAFRL,0.062491,1.102046,1.100033,0.002013,1,1,0
277,MAFRL,0.066762,0.999917,0.997632,0.002286,1,0,1
278,MAFRL,0.026431,0.784547,0.783274,0.001273,6,5,1
279,MAFRL,0.058523,1.210297,1.20854,0.001757,1,1,0
280,MAFRL,0.049986,1.001888,1.000411,0.001477,2,1,1
281,MAFRL,0.044346,1.257011,1.254774,0.002236,2,1,1
282,MAFRL,0.050962,0.963435,0.962135,0.0013,2,2,0
283,MAFRL,0.061471,1.128741,1.126572,0.002169,1,0,1
284,MAFRL,0.060784,1.147392,1.144928,0.002464,1,1,0
285,MAFRL,0.041843,0.891307,0.889747,0.00156,3,3,0
286,MAFRL,0.064561,1.050271,1.048777,0.001494,1,0,1
287,MAFRL,0.061542,1.126147,1.124761,0.001387,1,1,0
288,MAFRL,0.045416,1.203477,1.201703,0.001774,2,1,1
289,MAFRL,0.040559,0.966708,0.965384,0.001325,3,1,2
290,MAFRL,0.125113,0.800869,0.799098,0.001771,0,0,0
291,MAFRL,0.04501,1.223664,1.221533,0.002131,2,1,1
292,MAFRL,0.07189,0.892263,0.890878,0.001385,1,1,0
293,MAFRL,0.053714,0.862673,0.86159,0.001083,2,2,0
294,MAFRL,0.051943,0.926612,0.925035,0.001577,2,2,0
295,MAFRL,0.041975,0.882986,0.882329,0.000657,3,2,1
296,MAFRL,0.0543,1.342551,1.3415,0.001051,1,0,1
297,MAFRL,0.033057,1.026037,1.024961,0.001076,4,3,1
298,MAFRL,0.131667,0.761322,0.75929,0.002031,0,0,0
299,MAFRL,0.039365,1.042239,1.040141,0.002098,3,1,2
300,MAFRL,0.060103,1.165518,1.163615,0.001903,1,1,0
301,MAFRL,0.041662,1.402914,1.4,0.002914,2,0,2
302,MAFRL,0.063838,1.067765,1.06631,0.001455,1,0,1
303,MAFRL,0.025904,1.362435,1.360107,0.002328,5,1,4
304,MAFRL,0.051015,1.462002,1.46,0.002002,1,0,1
305,MAFRL,0.052077,1.422264,1.42,0.002264,1,0,1
306,MAFRL,0.08439,1.186374,1.184827,0.001548,0,0,0
307,MAFRL,0.037033,1.20229,1.200107,0.002183,3,1,2
308,MAFRL,0.042043,1.380599,1.378255,0.002344,2,0,2
309,MAFRL,0.040819,1.451641,1.449611,0.00203,2,0,2
310,MAFRL,0.075848,1.32005,1.318255,0.001795,0,0,0
311,MAFRL,0.046581,1.147802,1.146679,0.001123,2,2,0
312,MAFRL,0.054342,1.341824,1.34,0.001824,1,0,1
313,MAFRL,0.079354,1.261768,1.26,0.001768,0,0,0
314,MAFRL,0.052626,1.402075,1.4,0.002075,1,0,1
315,MAFRL,0.044894,1.229744,1.227237,0.002508,2,1,1
316,MAFRL,0.065253,1.536134,1.532098,0.004036,0,0,0
317,MAFRL,0.044979,1.224313,1.223161,0.001152,2,0,2
318,MAFRL,0.074082,1.352112,1.349611,0.002501,0,0,0
319,MAFRL,0.067559,1.481813,1.48,0.001813,0,0,0
320,MAFRL,0.039679,1.522214,1.52,0.002214,2,0,2
321,MAFRL,0.050635,0.975959,0.974803,0.001156,2,2,0
322,MAFRL,0.055551,1.301496,1.3,0.001496,1,0,1
323,MAFRL,0.066126,1.014606,1.012002,0.002604,1,0,1
324,MAFRL,0.099276,1.009062,1.007096,0.001966,0,0,0
325,MAFRL,0.04629,1.161943,1.160107,0.001835,2,1,1
326,MAFRL,0.037873,1.142344,1.140174,0.002171,3,2,1
327,MAFRL,0.083323,1.201496,1.2,0.001496,0,0,0
328,MAFRL,0.038571,1.094321,1.092446,0.001875,3,2,1
329,MAFRL,0.059155,1.19159,1.190364,0.001226,1,1,0
330,MAFRL,0.033793,0.960417,0.959034,0.001382,4,3,1
331,MAFRL,0.049381,1.026226,1.024928,0.001298,2,1,1
332,MAFRL,0.071542,0.899079,0.897632,0.001447,1,0,1
333,MAFRL,0.037989,1.134255,1.132142,0.002113,3,1,2
334,MAFRL,0.049556,1.01932,1.017773,0.001547,2,1,1
335,MAFRL,0.102271,0.97922,0.977632,0.001589,0,0,0
336,MAFRL,0.052579,0.903792,0.901681,0.002111,2,1,1
337,MAFRL,0.047852,1.091428,1.089611,0.001817,2,0,2
338,MAFRL,0.068073,0.970066,0.968905,0.001161,1,1,0
339,MAFRL,0.052849,0.893892,0.892005,0.001886,2,1,1
340,MAFRL,0.042566,0.851056,0.849094,0.001962,3,2,1
341,MAFRL,0.047919,1.089218,1.086572,0.002647,2,0,2
342,MAFRL,0.034943,0.862987,0.861668,0.00132,4,3,1
343,MAFRL,0.050502,1.481035,1.48,0.001035,1,0,1
344,MAFRL,0.026007,0.846112,0.844997,0.001115,6,4,2
345,MAFRL,0.043047,0.824172,0.822928,0.001244,3,3,0
346,MAFRL,0.087708,1.141524,1.14,0.001524,0,0,0
347,MAFRL,0.068214,0.967929,0.965754,0.002176,1,1,0
348,MAFRL,0.048929,1.045215,1.043615,0.001599,2,1,1
349,MAFRL,0.039476,1.034287,1.033058,0.001229,3,3,0
350,MAFRL,0.041823,0.8918,0.890917,0.000883,3,2,1
351,MAFRL,0.08473,1.18214,1.18,0.00214,0,0,0
352,MAFRL,0.048387,1.06786,1.066547,0.001313,2,1,1
353,MAFRL,0.050335,0.987695,0.986572,0.001124,2,1,1
354,MAFRL,0.045032,1.222479,1.220465,0.002014,2,2,0
355,MAFRL,0.043406,1.305603,1.303615,0.001987,2,1,1
356,MAFRL,0.038756,1.082149,1.080033,0.002116,3,1,2
357,MAFRL,0.06492,1.042205,1.040141,0.002064,1,1,0
358,MAFRL,0.099277,1.008928,1.007096,0.001832,0,0,0
359,MAFRL,0.050458,0.982797,0.981757,0.001041,2,1,1
360,MAFRL,0.059097,1.193377,1.192002,0.001376,1,0,1
361,MAFRL,0.062295,1.106926,1.105069,0.001858,1,1,0
362,MAFRL,0.061705,1.122526,1.120411,0.002115,1,1,0
363,MAFRL,0.049737,1.011941,1.010439,0.001502,2,1,1
364,MAFRL,0.065179,1.035304,1.034129,0.001174,1,1,0
365,MAFRL,0.030352,1.29583,1.294504,0.001326,4,1,3
366,MAFRL,0.049097,1.037614,1.036707,0.000907,2,0,2
367,MAFRL,0.07211,0.88831,0.886604,0.001705,1,1,0
368,MAFRL,0.048073,1.081718,1.08,0.001718,2,0,2
369,MAFRL,0.056174,1.281825,1.28,0.001825,1,0,1
370,MAFRL,0.069921,0.931131,0.930091,0.00104,1,1,0
371,MAFRL,0.04504,1.221871,1.220054,0.001817,2,1,1
372,MAFRL,0.046063,1.172685,1.170744,0.001941,2,1,1
