episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
149,MARL,0.007779,5.376657,5.353367,0.02329,15,6,9
150,MARL,0.010097,5.42988,5.400552,0.029328,9,3,6
151,MARL,0.013665,5.846701,5.814668,0.032033,3,2,1
152,MARL,0.008388,5.949769,5.919268,0.030501,12,4,8
153,MARL,0.011059,5.5726,5.538622,0.033977,7,5,2
154,MARL,0.013285,6.057438,6.024217,0.033221,3,2,1
155,MARL,0.011438,5.773592,5.738941,0.034651,6,2,4
156,MARL,0.012336,5.635336,5.603041,0.032296,5,2,3
157,MARL,0.008116,5.848203,5.818863,0.02934,13,5,8
158,MARL,0.010526,6.033561,5.99706,0.036501,7,3,4
159,MARL,0.010135,5.89637,5.863673,0.032697,8,5,3
160,MARL,0.010364,6.175269,6.145895,0.029374,7,3,4
161,MARL,0.009013,6.121276,6.092768,0.028508,10,5,5
162,MARL,0.012219,6.208919,6.181101,0.027818,4,4,0
163,MARL,0.011967,5.379821,5.353338,0.026483,6,4,2
164,MARL,0.013485,5.442743,5.412703,0.03004,4,3,1
165,MARL,0.009645,5.897641,5.86465,0.032991,9,6,3
166,MARL,0.007375,5.589666,5.555633,0.034033,16,7,9
167,MARL,0.010948,5.661658,5.631345,0.030313,7,2,5
168,MARL,0.01034,6.20261,6.167926,0.034684,7,3,4
169,MARL,0.007682,6.040646,6.014032,0.026615,14,10,4
170,MARL,0.010708,5.865912,5.83549,0.030422,7,5,2
171,MARL,0.007988,6.046115,6.016313,0.029802,13,4,9
172,MARL,0.010141,5.889105,5.857881,0.031224,8,5,3
173,MARL,0.009801,5.227443,5.199821,0.027622,10,7,3
174,MARL,0.009141,5.968206,5.936863,0.031343,10,2,8
175,MARL,0.009873,5.654343,5.626251,0.028093,9,5,4
176,MARL,0.0086,6.156157,6.125326,0.030831,11,7,4
177,MARL,0.012417,5.58457,5.550052,0.034518,5,2,3
178,MARL,0.010428,5.614691,5.586845,0.027846,8,6,2
179,MARL,0.008804,5.882905,5.855087,0.027818,11,5,6
180,MARL,0.011834,6.474994,6.447265,0.027729,4,1,3
181,MARL,0.010636,5.42371,5.399667,0.024043,8,6,2
182,MARL,0.010558,6.00278,5.967921,0.034859,7,2,5
183,MARL,0.012109,5.790612,5.754505,0.036108,5,3,2
184,MARL,0.011962,5.881438,5.857459,0.023979,5,3,2
185,MARL,0.013828,5.755718,5.729276,0.026442,3,3,0
186,MARL,0.007942,6.111872,6.088119,0.023753,13,5,8
187,MARL,0.01251,5.515094,5.491268,0.023826,5,3,2
188,MARL,0.011063,6.060867,6.036835,0.024032,6,2,4
189,MARL,0.011138,6.50299,6.475803,0.027187,5,2,3
190,MARL,0.010434,6.114237,6.08116,0.033077,7,2,5
191,MARL,0.008619,5.626799,5.600256,0.026543,12,8,4
192,MARL,0.009858,6.17481,6.140435,0.034375,8,2,6
193,MARL,0.010343,6.196335,6.164828,0.031507,7,2,5
194,MARL,0.009222,6.877395,6.839258,0.038137,8,2,6
195,MARL,0.008847,5.826912,5.801141,0.025771,11,5,6
196,MARL,0.010915,5.688727,5.658876,0.029851,7,4,3
197,MARL,0.008803,5.885827,5.856185,0.029642,11,6,5
198,MARL,0.008916,5.740976,5.713272,0.027704,11,9,2
199,MARL,0.010525,6.027805,5.998537,0.029268,7,3,4
200,MARL,0.008518,6.26408,6.237712,0.026368,11,6,5
201,MARL,0.009489,6.063943,6.035576,0.028367,9,3,6
202,MARL,0.008526,6.253069,6.226583,0.026486,11,6,5
203,MARL,0.007251,5.815702,5.789471,0.026232,16,10,6
